LocalStack supervisor: starting
LocalStack supervisor: localstack process (PID 16) starting
2024-11-18T17:54:58.506 DEBUG --- [  MainThread] l.utils.docker_utils       : Using SdkDockerClient. LEGACY_DOCKER_CLIENT: False, SDK installed: True
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.start_dns_server = <function start_dns_server at 0xffffa17ac040>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:start_dns_server
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.validate_configuration = <function validate_configuration at 0xffffa189e480>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:validate_configuration
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start._disable_iam_during_startup = <function _disable_iam_during_startup at 0xffffa17ad760>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : plugin localstack.hooks.on_infra_start:_disable_iam_during_startup is disabled, reason: Load condition for plugin was false
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.add_aws_request_logger = <function add_aws_request_logger at 0xffffa17adbc0>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:add_aws_request_logger
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.add_custom_edge_routes = <function add_custom_edge_routes at 0xffffa1635da0>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:add_custom_edge_routes
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.configure_transparent_endpoint_injection = <function configure_transparent_endpoint_injection at 0xffffa16367a0>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:configure_transparent_endpoint_injection
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.deprecation_warnings_pro = <function deprecation_warnings_pro at 0xffffa1636660>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:deprecation_warnings_pro
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.extensions_on_infra_start = <function extensions_on_infra_start at 0xffffa1636b60>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:extensions_on_infra_start
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.init_stackinfo_handler = <function init_stackinfo_handler at 0xffffa1637380>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:init_stackinfo_handler
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.platform_plugins_add_service_plugin_listener = <function platform_plugins_add_service_plugin_listener at 0xffffa1637600>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:platform_plugins_add_service_plugin_listener
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.platform_plugins_on_infra_start = <function platform_plugins_on_infra_start at 0xffffa1637740>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:platform_plugins_on_infra_start
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_ci_run_manager = <function register_ci_run_manager at 0xffffa1640220>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_ci_run_manager
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_launchpad_api = <function register_launchpad_api at 0xffffa1640860>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_launchpad_api
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_pickle_patches_runtime = <function register_pickle_patches_runtime at 0xffffa1640c20>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_pickle_patches_runtime
